sample,fastq_1,fastq_2,strandedness
TP533_and_other_genes_2,SRR11318325_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318326_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318326_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318327_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318327_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318328_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318328_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318329_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318329_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318330_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318330_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318331_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318332_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318332_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318333_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318333_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318352_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318352_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318353_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318353_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318354_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318354_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318355_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318355_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318356_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318356_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318357_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318357_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318358_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318358_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318359_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318359_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318360_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318360_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318361_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318361_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318362_target_seq_of_human_BRCA1_2_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318362_target_seq_of_human_BRCA1_2_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318363_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318363_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
TP533_and_other_genes_1,SRR11318364_target_seq_of_human_TP53_and_other_genes_1.fastq.gz,,reverse
TP533_and_other_genes_2,SRR11318364_target_seq_of_human_TP53_and_other_genes_2.fastq.gz,,reverse
